Signal,WindowStart,WindowEnd,totalPower,peakFreq,peakPower,specCentroid,specBandwidth,specFlatness,specEntropy,bp_delta,bp_theta,bp_alpha,bp_beta,bp_30_80,bp_80_200,RMS,MAV,ZCR,WL,kurtosis,spectrumCurvature,spectrumSlope,Cluster,Is_EMG_like
dalt,2561,3072,2750.96647682912,0.5,2996.06875247387,0.797561106910801,0.933932189430139,4.03812029179271e-05,0.308615024035892,416.613355948502,66.3611768177087,1.60614990977988,0.312386712236693,0.0426782935826363,0.0103741712024363,47.1012440097075,39.1146708985358,0.0234375,742.717968993248,2.24208807354688,6781.41626795807,-2.80683315522374,2,0
dalt,2817,3328,695.851520727257,3.5,487.552137710059,3.00319186036353,1.56210842188921,4.08768638590564e-05,0.429159382555474,509.56626434003,117.840019402902,3.90397977175578,0.651300402919777,0.0472463344420872,0.00598430472067032,27.4134647327594,21.7727374396554,0.03515625,832.930058707719,2.61357749776551,1487.29538334942,-3.58735866062757,2,0
dalt,3073,3584,572.844685077144,1.5,246.728291025961,2.60413870493205,1.79493247062816,0.000326304755202574,0.463265335792466,381.612400759541,100.623311915465,3.29671784559479,0.60367677667493,0.0672977358554348,0.0139991546458555,25.1445166713561,19.9927330407826,0.03515625,669.188530828346,3.05503988260295,927.369928739192,-2.84571544379657,2,0
dalt,3329,3840,625.678890483772,0.75,517.75234105941,1.64537197473548,1.52844682162892,0.000243562549112389,0.412854610214159,271.502534330679,52.9125859226885,1.19451781939596,0.24352524253843,0.0426474318957574,0.0120180685745152,26.4484527648408,22.994236548478,0.02734375,581.538727041843,2.08677245864527,786.08111397952,-2.74725753141973,2,0
dalt,3585,4096,1072.93600358242,1.25,920.03603218245,1.88743958848102,1.28893493000245,6.85536011261085e-05,0.390422486371843,834.363193100863,76.9957557802766,2.46194916446085,0.444124786838114,0.0429256624562398,0.00798317576074773,29.0026644363473,24.0506269651708,0.03515625,708.950494095764,2.19763274807017,3029.8318071634,-3.22915819354004,2,0
dalt,3841,4352,2375.92455832338,1.75,1540.98340730603,1.7966292687254,1.30427509965042,0.000136851356668241,0.431831266772257,1494.4809564119,143.339693018701,3.89643486453557,0.726487422283763,0.0900648941604639,0.0218065891831338,53.5833611821401,42.3417394452417,0.02734375,1005.80232396268,2.58313515289574,3705.33842774943,-3.01740118415381,2,0
dalt,4097,4608,3491.08766487094,1.25,2665.24265221341,1.24168192123697,1.20230937774155,0.000110232630191299,0.38326690383778,2112.19231278696,92.4612122856976,4.26775544289923,0.970340813682136,0.177729525023397,0.0501551047798339,71.1861240735901,58.2114799026855,0.015625,1048.62897961779,2.30029867868374,3642.92382329895,-2.97140869884346,2,0
dalt,4353,4864,7142.25450059387,1,7550.83831912939,1.06492045017501,0.672937101179617,4.6143102765728e-05,0.318739038572007,3413.67297832995,44.7041888877986,2.11955014457487,0.439090843690705,0.10219180674736,0.0304963389429939,69.4189812790457,56.7473773590968,0.01953125,990.769727386186,2.46084545415717,13519.9814121057,-2.92644677518966,2,0
thalt,1,512,0.0414267037410991,5.5,0.018572322291352,6.21620760654705,4.75354158275583,0.0118361290639733,0.528016763703621,0.00574017227214986,0.0293913236265417,0.00510615256131325,0.00057582772428658,0.000153242273296654,4.08583385786438e-05,0.771091943656502,0.353464110462426,0.05859375,28.2450366963425,11.0909483539559,0.0589872219890815,-2.30563430901472,2,0
thalt,257,768,52.7535005219426,5.25,13.5337083219376,6.06711486902795,2.36686546259251,3.65330813476569e-06,0.543577411567808,6.86899784884876,38.0368793351568,7.56327013655213,0.250478487872772,0.0310862798064851,0.00184623873968476,7.58270510847833,2.89508732327449,0.1484375,235.953865419294,14.9736579696361,68.9508757392193,-5.39475309227094,2,0
